ID;dart;x;y;z
576;4500;1.2061;-0.125;0.158786
575;4492;1.11538;-0.216506;0.146842
573;4476;0.867514;-0.216506;0.11421
572;4468;0.776791;-0.125;0.102266
571;4460;0.743584;-0;0.097895
570;4452;0.776791;0.125;0.102266
568;4436;0.991445;0.25;0.130526
566;4420;1.2061;0.125;0.158786
564;4404;1.17506;-0.125;0.314855
562;4388;0.965926;-0.25;0.258819
561;4380;0.845185;-0.216506;0.226466
560;4372;0.756797;-0.125;0.202783
559;4364;0.724444;-0;0.194114
557;4348;0.845185;0.216506;0.226466
556;4340;0.965926;0.25;0.258819
555;4332;1.08667;0.216506;0.291171
553;4322;1.20741;-0;0.323523
552;4308;1.1239;-0.125;0.465537
551;4300;1.03936;-0.216506;0.430519
550;4292;0.923879;-0.25;0.382684
544;4244;0.923879;0.25;0.382684
542;4228;1.1239;0.125;0.465537
256;1940;-0.92388;0.25;-0.382683
254;1924;-1.1239;0.125;-0.465537
433;3362;0;-0;1.25
463;3596;0.194114;-0;0.724444
247;1868;-0.649519;0;-0.375
240;1812;-0.965119;-0.125;-0.740562
245;1852;-0.757772;0.216506;-0.4375
237;1788;-0.694184;-0.216506;-0.532666
565;4418;1.23931;-0;0.163158
298;2276;-1;-0.25;-0
236;1780;-0.621587;-0.125;-0.476961
272;2068;-0.756797;-0.125;-0.202783
232;1748;-0.793353;0.25;-0.608761
405;3132;-0.334848;-0.216506;0.808395
563;4396;1.08667;-0.216506;0.291171
458;3556;0.314854;0.125;1.17506
229;1730;-0.991692;0;-0.760952
225;1692;-0.618719;-0.216506;-0.618718
224;1684;-0.554014;-0.125;-0.554013
222;1668;-0.554014;0.125;-0.554013
215;1612;-0.684857;-0.216506;-0.892522
296;2260;-0.783494;-0.125;-0
212;1588;-0.476961;-0.125;-0.621587
419;3244;-0.291172;-0.216506;1.08667
434;3364;0;0.125;1.21651
208;1556;-0.608761;0.25;-0.793353
191;1420;-0.430519;-0.216506;-1.03936
207;1548;-0.684857;0.216506;-0.892522
271;2060;-0.724444;0;-0.194114
205;1538;-0.760952;0;-0.991692
363;2796;-0.795495;0.216506;0.795495
230;1732;-0.965119;0.125;-0.740562
204;1524;-0.608253;-0.125;-1.05353
198;1476;-0.391747;0.125;-0.678525
238;1796;-0.793353;-0.25;-0.608761
500;3892;0.476961;-0.125;0.621587
211;1580;-0.456571;0;-0.595015
195;1452;-0.5625;0.216506;-0.974279
217;1634;-0.883884;0;-0.883883
100;692;0.5;0.25;-0.866025
567;4428;1.11538;0.216506;0.146842
425;3292;-0.114211;0.216506;0.867514
194;1444;-0.608253;0.125;-1.05353
569;4444;0.867514;0.216506;0.11421
329;2524;-0.808395;0.216506;0.334848
359;2764;-0.892522;-0.216506;0.684857
333;2556;-0.808395;-0.216506;0.334848
226;1700;-0.707107;-0.25;-0.707107
188;1396;-0.29983;-0.125;-0.723854
394;3044;-0.5;-0.25;0.866026
187;1388;-0.287013;0;-0.69291
206;1540;-0.740562;0.125;-0.965119
183;1356;-0.430519;0.216506;-1.03936
190;1412;-0.382684;-0.25;-0.92388
9;28;0.867514;0.216506;-0.11421
181;1346;-0.478354;0;-1.15485
42;228;0.723854;0.125;-0.29983
179;1324;-0.291171;-0.216506;-1.08667
376;2900;-0.608762;0.25;0.793353
546;4260;0.723854;0.125;0.29983
178;1316;-0.258819;-0.25;-0.965926
342;2628;-0.678525;0.125;0.391747
448;3476;0.130526;0.25;0.991445
171;1260;-0.291171;0.216506;-1.08667
241;1826;-1.08253;0;-0.625
168;1236;-0.158786;-0.125;-1.2061
299;2284;-1.125;-0.216506;-0
219;1644;-0.795495;0.216506;-0.795495
418;3236;-0.258819;-0.25;0.965926
165;1212;-0.114211;-0.216506;-0.867514
214;1604;-0.608761;-0.25;-0.793353
162;1188;-0.102267;0.125;-0.776791
351;2700;-0.892522;0.216506;0.684857
539;4204;0.974279;-0.216506;0.5625
161;1180;-0.114211;0.216506;-0.867514
157;1154;-0.163158;0;-1.23931
199;1484;-0.375;0;-0.649519
308;2356;-0.776791;-0.125;0.102267
156;1140;0;-0.125;-1.21651
153;1116;0;-0.216506;-0.875
152;1108;0;-0.125;-0.783494
150;1092;0;0.125;-0.783494
149;1084;0;0.216506;-0.875
189;1404;-0.334848;-0.216506;-0.808395
218;1636;-0.8602;0.125;-0.8602
554;4324;1.17506;0.125;0.314855
356;2740;-0.621587;-0.125;0.476961
197;1468;-0.4375;0.216506;-0.757772
536;4180;0.678525;-0.125;0.391747
143;1036;0.146842;-0.216506;-1.11538
255;1932;-1.03936;0.216506;-0.430519
74;484;0.8602;0.125;-0.8602
257;1948;-0.808395;0.216506;-0.334848
521;4060;0.694184;0.216506;0.532666
138;996;0.102266;0.125;-0.776791
137;988;0.11421;0.216506;-0.867514
